Format Version,1.25,Take Name,Take 2026-08-14 12.04.45 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 12.04.45.615 PM,Capture Start Frame,1487855,Total Frames in Take,111,Total Exported Frames,111,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5,0.041667,-0.436338,-0.001625,0.899781,-0.000272,104.564919,730.550354,2181.602051,46.090656,731.055542,2192.160400,123.765160,729.481201,2126.475098,143.838974,731.114258,2226.170410,0.004788,0.435199,-0.007956,0.900286,-1718.612183,1259.478882,-815.983643,-1813.338623,1286.726807,-949.681152,-1728.251831,1281.552979,-720.158752,-1614.245850,1210.157104,-778.110901,-1814.051392,1287.080444,-949.844604,-1728.147217,1281.347534,-721.005005,-1613.513184,1209.976929,-776.904053,44.946095,731.063721,2192.263428,124.031868,729.460388,2125.367188,145.206421,731.134277,2227.742920,268.180054,634.096924,2152.127197,2592.354004,161.624680,-1860.285645,2847.627686,96.262939,-2377.352295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-0.436383,-0.001520,0.899760,-0.000669,104.553070,730.555542,2181.605957,46.077469,731.029968,2192.158203,123.759590,729.468933,2126.481689,143.822205,731.167664,2226.178223,0.004607,0.435209,-0.007996,0.900282,-1718.596558,1259.455688,-815.975586,-1813.328735,1286.647339,-949.680542,-1728.235596,1281.563477,-720.158447,-1614.225098,1210.156616,-778.087646,-1814.038086,1287.001343,-949.830017,-1728.135498,1281.356323,-721.026428,-1613.497070,1209.977905,-776.887878,44.899803,731.037659,2192.269775,124.041199,729.447571,2125.369141,145.144638,731.188293,2227.679443,268.054077,634.249817,2152.038818,2598.559814,162.635620,-1860.371216,2847.400391,97.327164,-2378.231445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.436442,-0.001618,0.899731,-0.000020,104.549362,730.590332,2181.633057,46.072937,731.120300,2192.177979,123.761810,729.523926,2126.510498,143.813370,731.126831,2226.210693,0.004721,0.435255,-0.007554,0.900263,-1718.615234,1259.485107,-816.004028,-1813.378662,1286.689697,-949.684143,-1728.260742,1281.529541,-720.172913,-1614.205811,1210.236450,-778.154907,-1814.064575,1287.027344,-949.853210,-1728.125366,1281.312134,-720.995911,-1613.512817,1210.079834,-776.937805,44.917774,731.129150,2192.296875,124.046501,729.502869,2125.388916,145.087067,731.144592,2227.680420,268.005157,634.375732,2151.971436,2605.978516,160.296158,-1858.671387,2847.788818,97.440918,-2378.654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.436440,-0.001343,0.899732,-0.000150,104.543037,730.593994,2181.624756,46.066628,731.130676,2192.169434,123.755264,729.493835,2126.502441,143.807266,731.157471,2226.201660,0.004580,0.435310,-0.007650,0.900237,-1718.616577,1259.491211,-816.013977,-1813.395508,1286.655396,-949.691406,-1728.249146,1281.568359,-720.189087,-1614.204956,1210.250122,-778.161377,-1814.057495,1286.984375,-949.836853,-1728.116699,1281.348511,-721.032593,-1613.542603,1210.102905,-776.984375,44.910053,731.139709,2192.292725,124.042152,729.471069,2125.327881,145.119537,731.177429,2227.755371,268.112579,634.201172,2152.054932,2612.655518,158.190628,-1857.141724,2847.834961,97.483437,-2378.814697,2600.603760,191.498093,-1874.936157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.436390,-0.001526,0.899756,-0.000555,104.529076,730.625793,2181.610596,46.053379,731.110840,2192.161865,123.736267,729.541443,2126.486328,143.797607,731.225220,2226.183350,0.004701,0.435295,-0.007775,0.900242,-1718.599854,1259.492676,-816.003723,-1813.365234,1286.702881,-949.681274,-1728.228271,1281.562622,-720.176758,-1614.205688,1210.212646,-778.153076,-1814.042969,1287.039673,-949.832092,-1728.110352,1281.351074,-721.016602,-1613.520386,1210.052490,-776.979248,44.906540,731.118530,2192.269775,124.007271,729.519653,2125.347412,145.178818,731.247070,2227.795898,268.008087,634.258972,2152.009033,2618.664551,156.295639,-1855.765015,2847.402344,97.901070,-2378.849854,2609.092285,194.576691,-1882.747925,-1660.761108,1383.775269,-688.532104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.436368,-0.001386,0.899767,-0.000612,104.539528,730.625366,2181.624512,46.064377,731.114685,2192.178467,123.743958,729.523926,2126.499756,143.810287,731.237549,2226.195068,0.004650,0.435333,-0.007972,0.900222,-1718.590454,1259.483765,-815.996704,-1813.359375,1286.688354,-949.672974,-1728.203491,1281.581909,-720.174683,-1614.208374,1210.181519,-778.142334,-1814.064941,1287.040283,-949.822937,-1728.112061,1281.382568,-721.024170,-1613.479614,1209.999268,-776.961121,44.933601,731.122620,2192.298584,124.023277,729.501160,2125.330322,145.100113,731.259033,2227.736572,267.985596,634.273865,2152.010254,,,,2847.485840,97.769653,-2378.769531,2615.860840,202.676697,-1891.027466,-1660.748535,1383.736694,-688.603455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.436267,-0.001668,0.899816,-0.000377,104.533562,730.621155,2181.610840,46.060875,731.113342,2192.178223,123.725388,729.555603,2126.480713,143.814468,731.194580,2226.172852,0.004700,0.435262,-0.007982,0.900256,-1718.601685,1259.449097,-815.971741,-1813.347778,1286.669922,-949.660828,-1728.228516,1281.540283,-720.149536,-1614.228638,1210.137329,-778.104736,-1814.050537,1287.018311,-949.823425,-1728.128662,1281.340332,-720.976868,-1613.504639,1209.958008,-776.920776,44.923195,731.121338,2192.296387,124.004654,729.534363,2125.350098,145.090958,731.213989,2227.664795,268.089050,634.247620,2152.034424,,,,2846.750488,98.233421,-2378.808838,2623.711426,212.220169,-1900.263916,-1660.737061,1383.702148,-688.667603,2680.565186,92.513191,-1990.762451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.436424,-0.001677,0.899740,-0.000402,104.520912,730.594482,2181.619141,46.044483,731.083557,2192.166260,123.732048,729.529602,2126.496094,143.786224,731.170166,2226.195068,0.004709,0.435245,-0.007998,0.900264,-1718.590576,1259.473145,-816.007935,-1813.330811,1286.697876,-949.700500,-1728.220215,1281.564331,-720.185974,-1614.220703,1210.157593,-778.137207,-1814.030396,1287.043091,-949.871277,-1728.090454,1281.347168,-721.021179,-1613.509888,1209.993164,-776.908447,44.923691,731.091431,2192.285889,124.010231,729.508240,2125.358887,145.030380,731.189453,2227.666992,268.039154,634.309448,2152.014893,,,,2847.312256,97.461227,-2378.580566,2627.577637,226.245087,-1911.297485,-1660.726685,1383.671021,-688.725342,2686.093994,93.249832,-1992.471436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.436561,-0.001681,0.899673,-0.000304,104.543762,730.588318,2181.591309,46.064243,731.086609,2192.120605,123.771477,729.525269,2126.473877,143.795609,731.153137,2226.179199,0.004718,0.435299,-0.007698,0.900241,-1718.599976,1259.481934,-816.002686,-1813.369995,1286.693481,-949.676758,-1728.230225,1281.541260,-720.173462,-1614.199341,1210.211304,-778.157715,-1814.047119,1287.027832,-949.838257,-1728.096558,1281.323730,-721.000061,-1613.517090,1210.057495,-776.956787,44.911568,731.094971,2192.247070,124.062378,729.503540,2125.317627,145.052536,731.172058,2227.658447,268.091705,634.317993,2152.030762,,,,2847.733887,96.824532,-2378.362061,2638.184570,233.423294,-1920.526245,,,,2692.942871,94.887512,-1994.561279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.436497,-0.001656,0.899704,-0.000325,104.570900,730.624939,2181.628418,46.092854,731.122864,2192.166016,123.790863,729.558716,2126.508545,143.829025,731.193176,2226.210938,0.004751,0.435233,-0.008205,0.900268,-1718.580444,1259.427979,-815.984436,-1813.306396,1286.677612,-949.682007,-1728.203125,1281.533081,-720.165039,-1614.231689,1210.073608,-778.106140,-1814.045410,1287.043823,-949.855530,-1728.111572,1281.334351,-721.010376,-1613.460693,1209.876587,-776.877563,44.950085,731.131226,2192.291260,124.078606,729.537109,2125.358643,145.075745,731.212219,2227.680176,268.148376,634.276917,2152.067871,,,,2847.549805,96.777512,-2378.348145,2649.720703,240.335632,-1929.863159,,,,2701.243408,95.993340,-1996.498047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
