Format Version,1.25,Take Name,Take 2026-08-14 09.09.35 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 09.09.35.233 AM,Capture Start Frame,226598,Total Frames in Take,138,Total Exported Frames,138,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5,0.041667,0.000107,0.000046,-0.000614,1.000000,2306.824707,1287.675903,-1941.369263,2352.508789,1312.918091,-2099.060059,2225.549072,1309.819214,-1889.730957,2342.416504,1240.290527,-1835.316650,2352.501221,1312.929932,-2099.088867,2225.549072,1309.824829,-1889.750244,2342.424072,1240.272461,-1835.267334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,0.000059,-0.000022,-0.000440,1.000000,2306.840576,1287.666260,-1941.364380,2352.537109,1312.909424,-2099.051514,2225.550293,1309.786377,-1889.739136,2342.434570,1240.303467,-1835.302490,2352.529541,1312.921631,-2099.081543,2225.548096,1309.793091,-1889.759399,2342.443848,1240.283813,-1835.251099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000096,0.000013,-0.000601,1.000000,2306.833252,1287.657715,-1941.363037,2352.526855,1312.897705,-2099.051514,2225.553467,1309.800171,-1889.730591,2342.419434,1240.275635,-1835.307129,2352.527344,1312.908325,-2099.087646,2225.542969,1309.807007,-1889.737671,2342.429932,1240.257935,-1835.263306,2241.116943,1410.851562,-1817.586792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.000151,0.000050,-0.000700,1.000000,2306.827393,1287.653076,-1941.342651,2352.514160,1312.901367,-2099.031738,2225.555908,1309.805908,-1889.701782,2342.411865,1240.252319,-1835.294434,2352.507812,1312.913696,-2099.063232,2225.537842,1309.821533,-1889.727539,2342.437012,1240.223511,-1835.235718,2241.450928,1410.123779,-1816.978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000163,0.000151,-0.000735,1.000000,2306.864990,1287.629883,-1941.319946,2352.522217,1312.878906,-2099.017334,2225.605469,1309.786987,-1889.661987,2342.467529,1240.223877,-1835.280151,2352.508301,1312.900269,-2099.069092,2225.635254,1309.779419,-1889.683105,2342.450684,1240.209839,-1835.206177,2241.751953,1409.468750,-1816.431274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.000075,0.000038,-0.000784,1.000000,2306.839355,1287.652100,-1941.352295,2352.534424,1312.868774,-2099.043945,2225.570557,1309.826416,-1889.716675,2342.413330,1240.261597,-1835.296021,2352.529785,1312.884277,-2099.089844,2225.564453,1309.834106,-1889.734009,2342.424805,1240.237305,-1835.231445,2242.022461,1408.879272,-1815.938599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.000152,0.000027,-0.000766,1.000000,2306.825928,1287.648804,-1941.361572,2352.523682,1312.891235,-2099.048340,2225.554932,1309.812134,-1889.724243,2342.399170,1240.243164,-1835.311768,2352.518555,1312.906860,-2099.093750,2225.532471,1309.830078,-1889.750000,2342.427734,1240.208496,-1835.238159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.000081,-0.000010,-0.000456,1.000000,2306.818848,1287.661987,-1941.352905,2352.512939,1312.910400,-2099.040039,2225.530273,1309.782471,-1889.724854,2342.413574,1240.293457,-1835.293945,2352.507812,1312.924072,-2099.078613,2225.512451,1309.796997,-1889.747192,2342.437012,1240.264160,-1835.231079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.000108,0.000017,-0.000289,1.000000,2306.816406,1287.669678,-1941.362183,2352.492920,1312.941895,-2099.050293,2225.523193,1309.760132,-1889.728394,2342.432617,1240.307373,-1835.307617,2352.482666,1312.954346,-2099.076416,2225.505859,1309.777832,-1889.762451,2342.461670,1240.275879,-1835.245239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.000009,0.000002,-0.000102,1.000000,2306.822998,1287.695190,-1941.382202,2352.494873,1312.947632,-2099.074951,2225.520020,1309.767212,-1889.756104,2342.453857,1240.370850,-1835.315430,2352.494385,1312.956909,-2099.105957,2225.519531,1309.768677,-1889.759644,2342.455078,1240.360352,-1835.280762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.000011,0.000016,-0.000120,1.000000,2306.826172,1287.691528,-1941.370361,2352.494385,1312.941528,-2099.064453,2225.525391,1309.766602,-1889.742065,2342.458496,1240.366455,-1835.304443,2352.490234,1312.949341,-2099.083740,2225.519775,1309.773193,-1889.755859,2342.468506,1240.351929,-1835.270752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.000110,0.000017,0.000037,1.000000,2306.821289,1287.713989,-1941.367432,2352.481689,1312.947144,-2099.066406,2225.513916,1309.773926,-1889.743286,2342.468506,1240.421143,-1835.292114,2352.485840,1312.961670,-2099.122803,2225.510254,1309.774414,-1889.740234,2342.467773,1240.406006,-1835.239502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.000142,0.000014,-0.000145,1.000000,2306.818359,1287.690674,-1941.350342,2352.488525,1312.897095,-2099.050781,2225.518555,1309.783569,-1889.728027,2342.447754,1240.391602,-1835.271851,2352.483154,1312.908081,-2099.080811,2225.514160,1309.790039,-1889.743896,2342.457275,1240.373413,-1835.224976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.000150,0.000018,-0.000219,1.000000,2306.818115,1287.656128,-1941.336792,2352.490967,1312.853271,-2099.037842,2225.521729,1309.761841,-1889.714355,2342.441162,1240.353516,-1835.257812,2352.490479,1312.860352,-2099.062012,2225.508545,1309.770752,-1889.723511,2342.455322,1240.337158,-1835.224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
